"","province","date","retail_recreation","grocery_pharmacy","parks","transit","workplaces","residential","total","new","days_since_emergency"
"304","Newfoundland and Labrador",2020-04-21,-43,-26,-19,-60,-58,19,257,0,35
"305","Newfoundland and Labrador",2020-04-22,-37,-19,39,-52,-57,17,256,-1,36
"306","Newfoundland and Labrador",2020-04-23,-40,-23,-11,-59,-57,19,256,0,37
"307","Newfoundland and Labrador",2020-04-24,-42,-22,4,-54,-42,20,256,0,38
"308","Newfoundland and Labrador",2020-04-25,-47,-21,-17,-61,-40,13,257,1,39
"309","Newfoundland and Labrador",2020-04-26,-19,-9,109,-47,-27,5,258,1,40
"310","Newfoundland and Labrador",2020-04-28,-36,-20,-3,-57,-57,13,258,0,41
"311","Newfoundland and Labrador",2020-04-29,-36,-20,10,-60,-56,17,258,0,42
"312","Newfoundland and Labrador",2020-04-30,-32,-17,35,-62,-55,16,258,0,43
"313","Newfoundland and Labrador",2020-05-01,-33,-12,83,-57,-37,16,259,1,44
"314","Newfoundland and Labrador",2020-05-02,-40,-15,1,-65,-35,11,259,0,45
"315","Newfoundland and Labrador",2020-05-03,-31,-14,-12,-65,-20,6,259,0,46
"316","Newfoundland and Labrador",2020-05-04,-28,-10,73,-58,-51,12,259,0,47
"317","Newfoundland and Labrador",2020-05-05,-46,-28,-44,-72,-55,19,259,0,48
"318","Newfoundland and Labrador",2020-05-06,-31,-11,37,-62,-53,16,259,0,49
"319","Newfoundland and Labrador",2020-05-07,-30,-10,46,-59,-52,15,261,2,50
"320","Newfoundland and Labrador",2020-05-08,-34,-7,11,-61,-35,18,261,0,51
"321","Newfoundland and Labrador",2020-05-09,-30,6,36,-59,-29,9,261,0,52
"322","Newfoundland and Labrador",2020-05-10,-15,0,12,-60,-12,4,261,0,53
"323","Newfoundland and Labrador",2020-05-11,-27,-8,107,-53,-47,11,261,0,54
"324","Newfoundland and Labrador",2020-05-12,-35,-19,4,-59,-51,16,261,0,55
"325","Newfoundland and Labrador",2020-05-13,-28,-11,42,-57,-50,15,261,0,56
"326","Newfoundland and Labrador",2020-05-14,-29,-13,23,-59,-50,13,261,0,57
"327","Newfoundland and Labrador",2020-05-15,-30,-7,61,-56,-32,15,260,-1,58
"328","Newfoundland and Labrador",2020-05-16,-35,-8,73,-57,-27,7,260,0,59
"329","Newfoundland and Labrador",2020-05-17,-13,3,156,-53,-12,1,260,0,60
"330","Newfoundland and Labrador",2020-05-19,-24,-6,30,-60,-48,14,260,0,61
"331","Newfoundland and Labrador",2020-05-20,-15,3,121,-56,-48,12,260,0,62
"332","Newfoundland and Labrador",2020-05-21,-18,-6,120,-59,-47,12,260,0,63
"333","Newfoundland and Labrador",2020-05-22,-28,-7,62,-57,-26,15,260,0,64
"334","Newfoundland and Labrador",2020-05-23,-31,-6,34,-62,-20,8,260,0,65
"335","Newfoundland and Labrador",2020-05-24,-4,8,212,-47,-6,0,260,0,66
"336","Nova Scotia",2020-03-22,-34,4,83,-38,-25,4,28,7,1
"337","Nova Scotia",2020-03-23,-50,-21,-16,-58,-55,19,41,13,2
"338","Nova Scotia",2020-03-24,-65,-39,-54,-66,-61,24,51,10,3
"339","Nova Scotia",2020-03-25,-51,-21,-7,-57,-58,20,68,17,4
"340","Nova Scotia",2020-03-26,-58,-30,-47,-69,-59,22,73,5,5
"341","Nova Scotia",2020-03-27,-55,-24,-42,-65,-57,24,90,17,6
"342","Nova Scotia",2020-03-28,-56,-29,-4,-52,-42,14,110,20,7
"343","Nova Scotia",2020-03-29,-33,-7,95,-45,-32,5,122,12,8
"344","Nova Scotia",2020-03-30,-52,-26,-31,-64,-59,21,127,5,9
"345","Nova Scotia",2020-03-31,-53,-25,-40,-66,-60,22,147,20,10
"346","Nova Scotia",2020-04-01,-55,-30,-38,-66,-60,22,173,26,11
"347","Nova Scotia",2020-04-02,-56,-32,-51,-74,-60,22,193,20,12
"348","Nova Scotia",2020-04-03,-53,-27,-52,-69,-58,24,207,14,13
"349","Nova Scotia",2020-04-04,-59,-36,-44,-61,-44,16,236,29,14
"350","Nova Scotia",2020-04-05,-38,-15,44,-51,-33,5,262,26,15
"351","Nova Scotia",2020-04-06,-51,-27,-24,-66,-59,21,293,31,16
"352","Nova Scotia",2020-04-07,-53,-25,-35,-67,-60,21,310,17,17
"353","Nova Scotia",2020-04-08,-49,-20,-29,-66,-60,21,342,32,18
"354","Nova Scotia",2020-04-09,-36,2,-19,-65,-60,19,373,31,19
"355","Nova Scotia",2020-04-10,-84,-75,-68,-83,-83,33,407,34,20
"356","Nova Scotia",2020-04-11,-55,-21,-55,-62,-46,16,428,21,21
"357","Nova Scotia",2020-04-12,-71,-65,27,-60,-44,7,445,17,22
"358","Nova Scotia",2020-04-13,-56,-34,-43,-75,-68,24,474,29,23
"359","Nova Scotia",2020-04-14,-49,-26,-15,-66,-60,21,517,43,24
"360","Nova Scotia",2020-04-15,-50,-29,-46,-68,-61,22,549,32,25
"361","Nova Scotia",2020-04-16,-45,-23,-23,-67,-59,21,579,30,26
"362","Nova Scotia",2020-04-17,-50,-27,-41,-68,-58,24,606,27,27
"363","Nova Scotia",2020-04-18,-57,-35,-54,-64,-41,15,649,43,28
"364","Nova Scotia",2020-04-19,-44,-25,10,-63,-33,6,675,26,29
"365","Nova Scotia",2020-04-20,-46,-26,-19,-68,-58,20,721,46,30
"366","Nova Scotia",2020-04-21,-45,-23,-13,-66,-59,20,737,16,31
"367","Nova Scotia",2020-04-22,-49,-30,-42,-69,-59,22,772,35,32
"368","Nova Scotia",2020-04-23,-46,-23,-27,-69,-58,20,827,55,33
"369","Nova Scotia",2020-04-24,-54,-32,-43,-69,-56,23,850,23,34
"370","Nova Scotia",2020-04-25,-51,-30,-19,-56,-39,13,865,15,35
"371","Nova Scotia",2020-04-26,-25,-5,60,-49,-27,4,873,8,36
"372","Nova Scotia",2020-04-27,-48,-29,-51,-74,-58,22,900,27,37
"373","Nova Scotia",2020-04-28,-55,-32,-57,-74,-61,20,915,15,38
"374","Nova Scotia",2020-04-29,-40,-18,-21,-62,-58,20,935,20,39
"375","Nova Scotia",2020-04-30,-37,-15,3,-62,-56,18,947,12,40
"376","Nova Scotia",2020-05-01,-43,-21,-26,-63,-55,22,959,12,41
"377","Nova Scotia",2020-05-02,-50,-31,-20,-60,-39,14,963,4,42
"378","Nova Scotia",2020-05-03,-13,2,307,-33,-23,2,971,8,43
"379","Nova Scotia",2020-05-04,-40,-22,1,-68,-56,19,985,14,44
"380","Nova Scotia",2020-05-05,-40,-20,3,-66,-57,20,991,6,45
"381","Nova Scotia",2020-05-06,-35,-18,85,-59,-56,18,998,7,46
"382","Nova Scotia",2020-05-07,-40,-18,-12,-71,-56,20,1007,9,47
"383","Nova Scotia",2020-05-08,-38,-13,46,-60,-52,20,1008,1,48
"384","Nova Scotia",2020-05-09,-45,-17,-32,-66,-36,14,1011,3,49
"385","Nova Scotia",2020-05-10,-8,15,107,-50,-19,3,1018,7,50
"386","Nova Scotia",2020-05-11,-33,-16,130,-56,-53,16,1019,1,51
"387","Nova Scotia",2020-05-12,-40,-19,10,-64,-55,19,1020,1,52
"388","Nova Scotia",2020-05-13,-36,-17,37,-60,-54,19,1024,4,53
"389","Nova Scotia",2020-05-14,-30,-11,98,-61,-53,15,1026,2,54
"390","Nova Scotia",2020-05-15,-35,-13,89,-59,-52,17,1034,8,55
"391","Nova Scotia",2020-05-16,-44,-23,26,-59,-33,12,1037,3,56
"392","Nova Scotia",2020-05-18,-39,-28,217,-66,-72,19,1043,3,57
"393","Nova Scotia",2020-05-19,-29,-9,115,-57,-52,16,1044,1,58
"394","Nova Scotia",2020-05-20,-23,-6,133,-47,-52,15,1045,1,59
"395","Nova Scotia",2020-05-21,-21,-2,187,-51,-51,14,1046,1,60
"396","Nova Scotia",2020-05-22,-28,-7,168,-49,-47,15,1048,2,61
"397","Nova Scotia",2020-05-23,-32,-15,119,-41,-25,8,1049,1,62
"398","Nova Scotia",2020-05-24,5,22,407,-22,-8,-1,1050,1,63
"399","Nova Scotia",2020-05-25,-20,-5,153,-50,-49,14,1051,1,64
"400","Ontario",2020-03-17,-29,15,2,-46,-39,15,177,32,1
"401","Ontario",2020-03-18,-36,1,1,-51,-44,17,189,12,2
"402","Ontario",2020-03-19,-38,2,11,-54,-47,19,258,69,3
"403","Ontario",2020-03-20,-45,-8,-15,-56,-49,21,311,53,4
"404","Ontario",2020-03-21,-48,-12,16,-49,-34,13,377,66,5
"405","Ontario",2020-03-22,-51,-22,6,-55,-38,12,425,48,6
"406","Ontario",2020-03-23,-47,-13,-39,-66,-55,22,503,78,7
"407","Ontario",2020-03-24,-48,-12,-6,-64,-57,22,588,85,8
"408","Ontario",2020-03-25,-54,-23,5,-67,-61,25,688,100,9
"409","Ontario",2020-03-26,-55,-22,-10,-68,-61,26,858,170,10
"410","Ontario",2020-03-27,-54,-21,10,-67,-61,26,993,135,11
"411","Ontario",2020-03-28,-60,-29,-31,-65,-46,16,993,0,12
"412","Ontario",2020-03-29,-59,-33,-14,-66,-46,14,1355,362,13
"413","Ontario",2020-03-30,-55,-27,-34,-71,-63,25,1706,351,14
"414","Ontario",2020-03-31,-51,-17,-27,-69,-62,24,1966,260,15
"415","Ontario",2020-04-01,-51,-21,1,-69,-63,25,2392,426,16
"416","Ontario",2020-04-02,-51,-20,3,-69,-63,26,2793,401,17
"417","Ontario",2020-04-03,-55,-22,-28,-70,-62,27,3255,462,18
"418","Ontario",2020-04-04,-57,-27,-18,-63,-46,16,3630,375,19
"419","Ontario",2020-04-05,-60,-32,-11,-67,-47,14,4038,408,20
"420","Ontario",2020-04-06,-55,-23,-5,-70,-63,24,4347,309,21
"421","Ontario",2020-04-07,-55,-18,-21,-69,-63,25,4726,379,22
"422","Ontario",2020-04-08,-52,-14,-10,-69,-64,25,5276,550,23
"423","Ontario",2020-04-09,-44,7,-31,-68,-64,25,5759,483,24
"424","Ontario",2020-04-10,-82,-67,-38,-81,-86,36,6237,478,25
"425","Ontario",2020-04-11,-54,-9,-20,-62,-48,16,6648,411,26
"426","Ontario",2020-04-12,-80,-68,-20,-70,-55,15,7049,401,27
"427","Ontario",2020-04-13,-58,-25,-47,-75,-69,27,7470,421,28
"428","Ontario",2020-04-14,-52,-14,-31,-70,-63,25,7953,483,29
"429","Ontario",2020-04-15,-53,-20,-37,-70,-63,26,8447,494,30
"430","Ontario",2020-04-16,-54,-19,-32,-70,-63,27,8961,514,31
"431","Ontario",2020-04-17,-56,-23,-33,-69,-62,28,9525,564,32
"432","Ontario",2020-04-18,-58,-27,-11,-58,-43,15,10010,485,33
"433","Ontario",2020-04-19,-61,-36,-36,-66,-44,14,10578,568,34
"434","Ontario",2020-04-20,-53,-23,-5,-68,-62,24,11184,606,35
"435","Ontario",2020-04-21,-56,-26,-44,-70,-62,25,11735,551,36
"436","Ontario",2020-04-22,-54,-22,-27,-69,-62,25,12245,510,37
"437","Ontario",2020-04-23,-54,-21,-25,-68,-62,26,12879,634,38
"438","Ontario",2020-04-24,-56,-25,-19,-67,-61,26,13519,640,39
"439","Ontario",2020-04-25,-56,-25,22,-54,-41,14,13995,476,40
"440","Ontario",2020-04-26,-59,-32,-36,-65,-43,14,14432,437,41
"441","Ontario",2020-04-27,-51,-20,19,-65,-60,23,14856,424,42
"442","Ontario",2020-04-28,-51,-18,-3,-65,-61,18,15381,525,43
"443","Ontario",2020-04-29,-53,-23,-31,-68,-61,25,15728,347,44
"444","Ontario",2020-04-30,-51,-18,-24,-67,-61,26,16187,459,45
"445","Ontario",2020-05-01,-51,-18,10,-63,-59,25,16608,421,46
"446","Ontario",2020-05-02,-54,-23,1,-54,-39,14,17119,511,47
"447","Ontario",2020-05-03,-49,-21,62,-52,-36,11,17553,434,48
"448","Ontario",2020-05-04,-49,-18,-3,-66,-59,23,17923,370,49
"449","Ontario",2020-05-05,-48,-14,4,-64,-59,23,18310,387,50
"450","Ontario",2020-05-06,-47,-15,16,-63,-59,23,18722,412,51
"451","Ontario",2020-05-07,-49,-14,-1,-65,-59,24,19121,399,52
"452","Ontario",2020-05-08,-51,-16,-21,-65,-58,25,19598,477,53
"453","Ontario",2020-05-09,-50,-14,-32,-59,-36,14,19944,346,54
"454","Ontario",2020-05-10,-43,-16,-10,-57,-32,11,20238,294,55
"455","Ontario",2020-05-11,-49,-22,-16,-66,-58,23,20546,308,56
"456","Ontario",2020-05-12,-46,-14,0,-63,-56,22,20907,361,57
"457","Ontario",2020-05-13,-42,-12,35,-60,-56,22,21236,329,58
"458","Ontario",2020-05-14,-45,-15,-12,-64,-57,24,21581,345,59
"459","Ontario",2020-05-15,-46,-15,-4,-63,-57,24,21922,341,60
"460","Ontario",2020-05-16,-43,-14,92,-46,-33,10,22313,391,61
"461","Ontario",2020-05-17,-40,-14,33,-56,-32,10,22653,340,62
"462","Ontario",2020-05-18,-68,-56,-6,-78,-83,30,22957,304,63
"463","Ontario",2020-05-19,-36,0,24,-59,-54,20,23384,427,64
"464","Ontario",2020-05-20,-33,0,68,-56,-54,20,23774,390,65
"465","Ontario",2020-05-21,-33,-2,80,-56,-54,20,24187,413,66
"466","Ontario",2020-05-22,-38,-8,68,-56,-52,20,24628,441,67
"467","Ontario",2020-05-23,-37,-9,114,-42,-25,9,25040,412,68
"468","Ontario",2020-05-24,-34,-14,100,-46,-25,8,25500,460,69
"469","Ontario",2020-05-25,-33,-7,71,-57,-54,19,25904,404,70
"470","Quebec",2020-03-13,-13,30,-38,-23,-15,8,17,4,1
"471","Quebec",2020-03-14,-16,10,-13,-21,-4,6,17,0,2
"472","Quebec",2020-03-15,-17,7,4,-28,-6,5,24,7,3
"473","Quebec",2020-03-16,-21,5,3,-43,-30,11,39,15,4
"474","Quebec",2020-03-17,-36,-3,-30,-52,-37,16,50,11,5
"475","Quebec",2020-03-18,-36,4,0,-52,-41,17,74,24,6
"476","Quebec",2020-03-19,-40,3,-1,-55,-44,18,121,47,7
"477","Quebec",2020-03-20,-51,-11,-45,-59,-46,22,139,18,8
"478","Quebec",2020-03-21,-54,-15,-14,-52,-32,15,202,82,9
"479","Quebec",2020-03-22,-53,-20,-8,-56,-32,11,221,0,10
"480","Quebec",2020-03-23,-44,-13,-41,-66,-49,19,221,407,11
"481","Quebec",2020-03-24,-51,-18,-17,-67,-55,22,221,385,12
"482","Quebec",2020-03-25,-60,-25,-19,-71,-64,26,1339,326,13
"483","Quebec",2020-03-26,-61,-22,-32,-73,-65,28,1629,290,14
"484","Quebec",2020-03-27,-63,-26,-14,-70,-64,28,2021,392,15
"485","Quebec",2020-03-28,-65,-31,-19,-64,-47,18,2498,477,16
"486","Quebec",2020-03-29,-70,-44,-68,-75,-45,15,2840,342,17
"487","Quebec",2020-03-30,-60,-34,-51,-76,-66,26,3430,590,18
"488","Quebec",2020-03-31,-55,-23,0,-72,-66,26,4162,732,19
"489","Quebec",2020-04-01,-57,-25,-32,-73,-67,27,4611,449,20
"490","Quebec",2020-04-02,-61,-28,-51,-76,-67,29,5518,907,21
"491","Quebec",2020-04-03,-64,-29,-51,-75,-66,30,6101,583,22
"492","Quebec",2020-04-04,-62,-28,-3,-63,-48,18,6997,896,23
"493","Quebec",2020-04-05,-84,-78,-42,-75,-52,16,7944,947,24
"494","Quebec",2020-04-06,-51,-20,4,-72,-66,25,8580,636,25
"495","Quebec",2020-04-07,-57,-23,3,-72,-67,26,9340,760,26
"496","Quebec",2020-04-08,-58,-24,-20,-73,-67,27,10031,691,27
"497","Quebec",2020-04-09,-60,-22,-57,-77,-68,29,10912,881,28
"498","Quebec",2020-04-10,-65,-27,-52,-78,-77,33,11677,765,29
"499","Quebec",2020-04-11,-64,-27,-38,-67,-49,19,12292,615,30
"500","Quebec",2020-04-12,-82,-75,1,-68,-54,15,12846,554,31
"501","Quebec",2020-04-13,-65,-42,-62,-81,-79,30,13557,711,32
"502","Quebec",2020-04-14,-54,-22,-23,-73,-66,27,14248,691,33
"503","Quebec",2020-04-15,-55,-24,-29,-73,-65,27,14860,612,34
"504","Quebec",2020-04-16,-56,-24,-26,-73,-65,28,15857,997,35
"505","Quebec",2020-04-17,-59,-28,-37,-72,-64,30,16798,941,36
"506","Quebec",2020-04-18,-59,-29,2,-59,-41,17,17521,723,37
"507","Quebec",2020-04-19,-82,-78,-42,-74,-48,16,18357,836,38
"508","Quebec",2020-04-20,-45,-17,19,-68,-61,23,19319,962,39
"509","Quebec",2020-04-21,-54,-29,-43,-74,-62,26,20126,807,40
"510","Quebec",2020-04-22,-57,-31,-49,-74,-62,27,20965,839,41
"511","Quebec",2020-04-23,-53,-23,-3,-70,-61,26,21838,873,42
"512","Quebec",2020-04-24,-56,-27,-4,-68,-60,27,22616,778,43
"513","Quebec",2020-04-25,-54,-24,41,-53,-38,16,23267,651,44
"514","Quebec",2020-04-26,-78,-74,-4,-68,-44,14,24107,840,45
"515","Quebec",2020-04-27,-44,-19,-9,-70,-59,23,24982,875,46
"516","Quebec",2020-04-28,-45,-20,36,-66,-59,18,25757,775,47
"517","Quebec",2020-04-29,-47,-22,39,-66,-59,23,26594,837,48
"518","Quebec",2020-04-30,-56,-26,-43,-73,-60,26,27538,944,49
"519","Quebec",2020-05-01,-55,-22,-16,-66,-58,26,28648,1110,50
"520","Quebec",2020-05-02,-50,-19,69,-47,-34,14,29656,1008,51
"521","Quebec",2020-05-03,-74,-69,40,-62,-39,13,31865,2209,52
"522","Quebec",2020-05-04,-39,-13,-9,-67,-54,21,32623,758,53
"523","Quebec",2020-05-05,-43,-15,12,-66,-55,22,33417,794,54
"524","Quebec",2020-05-06,-42,-15,50,-62,-54,21,34327,910,55
"525","Quebec",2020-05-07,-43,-15,40,-64,-54,22,35238,911,56
"526","Quebec",2020-05-08,-49,-18,-13,-65,-53,24,36150,912,57
"527","Quebec",2020-05-09,-47,-9,-22,-57,-31,15,36986,836,58
"528","Quebec",2020-05-10,-69,-64,-1,-63,-33,12,37721,735,59
"529","Quebec",2020-05-11,-37,-11,28,-63,-49,19,38469,748,60
"530","Quebec",2020-05-12,-40,-13,30,-62,-50,20,39225,756,61
"531","Quebec",2020-05-13,-39,-13,60,-60,-50,20,39931,706,62
"532","Quebec",2020-05-14,-40,-12,81,-60,-50,18,40724,793,63
"533","Quebec",2020-05-15,-47,-19,-23,-65,-50,23,41420,696,64
"534","Quebec",2020-05-16,-41,-9,66,-46,-25,11,42183,763,65
"535","Quebec",2020-05-17,-64,-58,149,-50,-30,9,42920,737,66
"536","Quebec",2020-05-18,-27,-6,158,-65,-75,22,43627,707,67
"537","Quebec",2020-05-19,-30,-5,70,-59,-47,18,44197,570,68
"538","Quebec",2020-05-20,-29,-3,110,-56,-47,17,44775,578,69
"539","Quebec",2020-05-21,-32,-4,113,-56,-47,18,45495,720,70
"540","Quebec",2020-05-22,-37,-7,94,-54,-44,17,46141,646,71
"541","Quebec",2020-05-23,-37,-5,103,-42,-17,9,46838,697,72
"542","Quebec",2020-05-24,-42,-27,154,-44,-16,5,47411,573,73
"543","Quebec",2020-05-25,-22,-7,76,-56,-45,16,47984,573,74
"544","Saskatchewan",2020-03-18,-24,20,1,-31,-23,11,2,1,1
"545","Saskatchewan",2020-03-19,-29,13,7,-37,-29,13,8,12,2
"546","Saskatchewan",2020-03-20,-37,7,-8,-39,-36,15,8,6,3
"547","Saskatchewan",2020-03-21,-51,-9,0,-37,-27,12,25,18,4
"548","Saskatchewan",2020-03-22,-53,-22,39,-46,-31,10,33,8,5
"549","Saskatchewan",2020-03-23,-47,-13,25,-50,-44,16,65,14,6
"550","Saskatchewan",2020-03-24,-54,-22,-15,-50,-47,20,72,6,7
"551","Saskatchewan",2020-03-25,-52,-17,-9,-53,-48,19,86,14,8
"552","Saskatchewan",2020-03-26,-50,-13,13,-54,-49,20,95,9,9
"553","Saskatchewan",2020-03-27,-50,-13,6,-51,-49,20,104,9,10
"554","Saskatchewan",2020-03-28,-54,-18,11,-49,-36,14,134,30,11
"555","Saskatchewan",2020-03-29,-53,-24,45,-52,-37,11,134,0,12
"556","Saskatchewan",2020-03-30,-45,-16,10,-55,-49,17,175,41,13
"557","Saskatchewan",2020-03-31,-49,-20,-23,-55,-50,20,184,9,14
"558","Saskatchewan",2020-04-01,-51,-21,-30,-57,-50,20,193,9,15
"559","Saskatchewan",2020-04-02,-50,-16,-23,-58,-50,21,206,13,16
"560","Saskatchewan",2020-04-03,-47,-11,-24,-56,-49,21,220,14,17
"561","Saskatchewan",2020-04-04,-57,-24,-45,-59,-39,16,231,11,18
"562","Saskatchewan",2020-04-05,-55,-29,-14,-59,-39,12,249,18,19
"563","Saskatchewan",2020-04-06,-50,-21,-15,-60,-50,19,253,4,20
"564","Saskatchewan",2020-04-07,-45,-12,10,-53,-50,19,260,7,21
"565","Saskatchewan",2020-04-08,-47,-11,-24,-57,-50,20,271,11,22
"566","Saskatchewan",2020-04-09,-30,19,14,-53,-51,18,278,7,23
"567","Saskatchewan",2020-04-10,-57,-28,-3,-65,-77,28,285,7,24
"568","Saskatchewan",2020-04-11,-50,-11,-33,-58,-40,15,289,4,25
"569","Saskatchewan",2020-04-12,-62,-43,-13,-63,-42,13,296,9,26
"570","Saskatchewan",2020-04-13,-50,-24,-12,-61,-57,20,300,2,27
"571","Saskatchewan",2020-04-14,-44,-12,23,-53,-49,19,301,1,28
"572","Saskatchewan",2020-04-15,-39,-6,11,-55,-49,19,304,3,29
"573","Saskatchewan",2020-04-16,-39,-7,17,-53,-49,19,305,1,30
"574","Saskatchewan",2020-04-17,-43,-12,4,-53,-48,20,306,2,31
"575","Saskatchewan",2020-04-18,-46,-14,-19,-52,-33,14,310,6,32
"576","Saskatchewan",2020-04-19,-43,-21,43,-54,-34,10,314,2,33
"577","Saskatchewan",2020-04-20,-35,-12,40,-54,-47,16,316,1,34
"578","Saskatchewan",2020-04-21,-35,-8,87,-48,-47,16,320,4,35
"579","Saskatchewan",2020-04-22,-37,-9,37,-53,-46,17,326,6,36
"580","Saskatchewan",2020-04-23,-34,-5,57,-53,-46,17,331,5,37
"581","Saskatchewan",2020-04-24,-41,-12,4,-53,-46,18,341,10,38
"582","Saskatchewan",2020-04-25,-39,-9,46,-44,-29,10,347,8,39
"583","Saskatchewan",2020-04-26,-41,-19,6,-54,-32,10,353,4,40
"584","Saskatchewan",2020-04-27,-31,-6,62,-50,-45,15,365,12,41
"585","Saskatchewan",2020-04-28,-31,-3,58,-48,-45,9,366,1,42
"586","Saskatchewan",2020-04-29,-29,1,81,-46,-44,15,383,17,43
"587","Saskatchewan",2020-04-30,-27,3,89,-47,-45,15,389,6,44
"588","Saskatchewan",2020-05-01,-35,-7,13,-50,-44,17,415,26,45
"589","Saskatchewan",2020-05-02,-36,-7,44,-43,-27,9,421,6,46
"590","Saskatchewan",2020-05-03,-33,-10,65,-49,-26,7,433,12,47
"591","Saskatchewan",2020-05-04,-27,-4,58,-48,-43,14,467,34,48
"592","Saskatchewan",2020-05-05,-28,-2,91,-46,-43,14,487,20,49
"593","Saskatchewan",2020-05-06,-28,1,104,-46,-42,14,512,25,50
"594","Saskatchewan",2020-05-07,-26,4,102,-45,-43,14,531,19,51
"595","Saskatchewan",2020-05-08,-35,-5,9,-50,-43,16,544,13,52
"596","Saskatchewan",2020-05-09,-36,4,-8,-45,-25,11,553,9,53
"597","Saskatchewan",2020-05-10,-23,1,76,-41,-20,5,564,11,54
"598","Saskatchewan",2020-05-11,-28,-7,65,-49,-41,13,568,4,55
"599","Saskatchewan",2020-05-12,-29,-5,72,-45,-41,14,573,5,56
"600","Saskatchewan",2020-05-13,-27,4,75,-44,-40,14,577,4,57
"601","Saskatchewan",2020-05-14,-22,8,128,-39,-41,13,582,5,58
"602","Saskatchewan",2020-05-15,-27,5,100,-38,-42,12,590,8,59
"603","Saskatchewan",2020-05-16,-32,-1,121,-28,-23,5,591,1,60
"604","Saskatchewan",2020-05-17,-28,-5,163,-36,-22,4,592,1,61
"605","Saskatchewan",2020-05-18,-32,-12,155,-56,-75,16,592,0,62
"606","Saskatchewan",2020-05-19,-16,10,124,-36,-40,11,599,7,63
"607","Saskatchewan",2020-05-20,-14,15,50,-43,-39,13,620,21,64
"608","Saskatchewan",2020-05-21,-12,20,80,-38,-39,13,622,2,65
"609","Saskatchewan",2020-05-22,-21,8,83,-36,-37,12,627,5,66
"610","Saskatchewan",2020-05-23,-24,6,68,-27,-14,6,630,3,67
"611","Saskatchewan",2020-05-24,-19,3,197,-24,-16,3,632,2,68
"612","Saskatchewan",2020-05-25,-13,11,151,-38,-39,10,634,2,69
